date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m,yearid
2014-04-01,0.01,2.99,88.53,100.53,10.08,-1.54,-3.33,-3.31,2.44,-7.64,-1.57,3.21,2.21,5.11,3.25,8.32,5.46,6.62,4.21,2014
2014-04-02,0.06,3.63,89.75,100.03,8.66,0.41,-0.73,-0.72,3.75,-4.91,0.83,3.16,3.55,6.21,3.12,9.37,6.67,7.69,4.72,2014
2014-04-03,0.59,2.57,85.51,100.65,7.1,-2.89,-5.25,-5.22,0.4,-6.7,-3.14,2.41,1.65,4.24,2.4,6.65,4.06,5.18,3.44,2014
2014-04-04,9.05,3.25,91.28,99.94,11.31,-0.74,-2.67,-2.65,3.81,-7.5,-0.96,5.04,4.1,6.08,3.42,11.12,7.51,7.85,5.45,2014
2014-04-05,2.05,3.73,86.95,99.02,6.58,1.26,-0.55,-0.54,3.93,-2.65,1.49,2.48,2.74,9.79,6.04,12.27,8.78,10.77,7.51,2014
2014-04-06,0.09,3.24,81.8,100.28,10.93,0.76,-2.33,-2.31,5.98,-4.95,0.55,3.54,3.59,6.45,3.29,9.99,6.88,7.57,4.9,2014
2014-04-07,2.61,4.17,84.16,100.2,11.81,3.4,1.02,1.03,9.57,-2.24,3.68,9.0,3.7,0.38,0.47,9.37,4.17,5.2,2.86,2014
2014-04-08,16.23,4.51,95.24,98.14,4.46,2.64,1.96,1.96,5.06,0.6,2.74,6.75,5.35,2.59,1.46,9.34,6.81,7.04,4.97,2014
2014-04-09,0.47,2.74,78.07,99.34,5.7,-0.9,-4.57,-4.51,1.15,-4.55,-1.19,6.81,5.83,2.58,1.74,9.39,7.57,7.01,4.85,2014
2014-04-10,3.62,4.59,87.66,99.35,15.01,3.71,1.58,1.59,10.67,-4.35,4.33,10.86,6.98,2.93,2.01,13.8,9.0,9.15,5.64,2014
2014-04-11,0.57,4.35,86.62,99.91,7.18,3.57,1.65,1.66,6.92,-0.26,3.83,6.29,5.07,1.43,1.05,7.72,6.12,5.83,3.91,2014
2014-04-12,0.03,4.09,84.37,100.5,10.64,3.32,0.91,0.92,9.01,-1.63,3.43,7.03,5.48,2.14,1.51,9.16,6.98,6.54,4.23,2014
2014-04-13,11.32,4.94,98.12,100.07,8.04,3.9,3.23,3.24,7.81,-0.23,3.89,6.53,5.0,0.6,0.63,7.13,5.64,5.17,3.73,2014
2014-04-14,6.59,9.01,99.7,98.89,15.4,11.48,11.39,11.39,19.44,4.04,12.27,11.55,7.03,0.76,0.72,12.32,7.75,7.67,4.81,2014
2014-04-15,11.38,5.72,100.0,98.8,22.06,4.95,3.0,3.03,15.52,-6.54,4.78,7.26,7.68,4.27,1.98,11.53,9.67,8.7,6.14,2014
2014-04-16,1.88,1.71,65.01,101.35,8.31,-3.71,-9.9,-9.69,-0.84,-9.15,-4.77,7.46,6.05,3.45,1.96,10.91,8.01,6.85,4.94,2014
2014-04-17,2.98,2.73,73.22,102.31,11.06,0.28,-4.27,-4.21,5.18,-5.88,0.01,4.08,1.56,3.21,2.39,7.28,3.95,5.05,3.19,2014
2014-04-18,0.51,4.0,86.0,101.16,8.1,2.8,0.71,0.72,6.56,-1.54,2.92,3.89,2.89,3.07,1.71,6.96,4.6,4.86,3.13,2014
2014-04-19,1.8,3.69,77.45,101.16,9.72,3.65,-0.37,-0.34,7.86,-1.86,3.25,3.18,3.69,4.99,2.79,8.18,6.48,6.85,4.62,2014
2014-04-20,0.76,3.83,70.77,101.37,13.98,5.59,0.06,0.09,11.61,-2.37,5.13,3.33,1.69,1.88,1.16,5.21,2.84,3.53,2.24,2014
2014-04-21,1.66,6.72,80.83,99.8,14.73,10.8,7.68,7.68,18.28,3.54,11.17,4.21,3.91,3.79,2.06,8.01,5.98,6.14,3.82,2014
2014-04-22,10.15,6.79,95.71,98.57,7.03,8.55,7.88,7.88,11.15,4.12,8.62,3.68,2.93,2.44,1.75,6.12,4.67,4.04,2.7,2014
2014-04-23,1.6,4.46,75.94,98.9,9.91,6.35,1.95,1.96,10.71,0.8,5.92,4.61,3.9,5.47,3.12,10.07,7.02,8.43,5.85,2014
2014-04-24,1.46,3.65,72.75,99.86,12.09,4.34,-0.71,-0.68,10.07,-2.02,3.8,3.18,4.2,6.57,3.26,9.75,7.45,8.47,5.57,2014
2014-04-25,0.22,3.63,68.53,99.94,13.91,5.66,-0.87,-0.82,11.15,-2.75,4.6,6.17,2.54,0.9,0.85,7.07,3.4,4.14,2.39,2014
2014-04-26,7.55,4.91,90.75,99.24,4.54,5.43,3.4,3.4,7.37,2.83,4.8,5.55,4.05,2.0,1.38,7.55,5.43,4.91,3.52,2014
2014-04-27,2.22,4.46,81.59,100.28,7.82,5.63,2.21,2.21,9.69,1.88,5.09,2.88,3.03,4.41,2.18,7.29,5.21,5.9,4.06,2014
2014-04-28,0.1,4.81,80.47,100.72,12.0,7.15,3.24,3.25,12.27,0.27,6.44,3.66,2.4,4.38,3.28,8.04,5.68,6.18,4.23,2014
2014-04-29,1.07,5.11,78.31,101.26,9.23,8.11,4.26,4.26,12.68,3.45,7.81,3.24,3.51,6.94,3.96,10.18,7.47,8.25,5.71,2014
2014-04-30,18.53,5.11,88.84,100.98,4.55,6.2,4.19,4.19,8.41,3.86,5.93,2.13,2.01,5.75,3.93,7.88,5.94,6.85,4.83,2014
2014-05-01,9.37,6.7,91.91,99.13,10.87,9.34,7.57,7.57,15.06,4.19,9.11,7.02,4.24,2.56,1.98,9.58,6.22,5.74,3.85,2014
2014-05-02,1.44,6.06,82.92,98.88,8.37,9.26,6.38,6.38,13.47,5.09,9.12,3.3,3.53,5.57,3.23,8.88,6.76,7.24,4.75,2014
2014-05-03,1.93,6.56,89.5,99.15,8.8,9.33,7.49,7.49,13.66,4.86,9.18,2.29,2.38,3.52,1.79,5.8,4.17,4.72,2.98,2014
2014-05-04,11.95,6.41,91.85,98.64,4.66,8.53,7.12,7.13,11.23,6.56,8.38,3.94,2.29,2.53,1.32,6.47,3.61,3.9,2.53,2014
2014-05-05,0.63,5.39,79.38,99.62,8.33,8.43,4.76,4.76,12.43,4.1,8.15,2.7,2.71,4.57,2.29,7.26,5.0,5.8,3.85,2014
2014-05-06,0.05,4.5,73.02,100.02,10.15,7.31,2.25,2.27,12.44,2.29,6.78,2.44,2.6,4.56,2.46,7.0,5.06,5.86,3.71,2014
2014-05-07,0.0,4.35,66.57,100.75,15.85,8.13,1.85,1.87,14.92,-0.94,7.77,3.87,1.26,2.53,1.94,6.39,3.2,4.2,2.59,2014
2014-05-08,1.89,4.9,68.94,100.76,13.84,9.34,3.5,3.51,15.81,1.97,8.99,4.07,1.02,3.05,2.61,7.13,3.63,5.02,3.09,2014
2014-05-09,6.09,7.29,94.88,100.14,10.2,10.09,8.83,8.82,14.23,4.04,10.03,3.84,3.21,4.41,2.58,8.25,5.79,6.19,4.0,2014
2014-05-10,8.14,9.84,83.05,99.08,11.78,16.14,13.46,13.46,21.15,9.38,16.47,6.08,5.0,5.58,3.13,11.67,8.13,8.94,5.72,2014
2014-05-11,0.01,7.18,76.57,99.76,12.7,13.18,8.86,8.86,19.25,6.56,12.98,4.02,3.85,5.51,2.84,9.54,6.69,7.41,4.73,2014
2014-05-12,0.01,6.17,71.23,100.48,11.03,12.51,6.78,6.79,17.64,6.6,11.89,6.56,3.6,1.95,1.51,8.5,5.12,4.87,3.16,2014
2014-05-13,2.27,6.77,80.43,100.73,12.93,12.15,7.88,7.88,17.73,4.8,11.5,2.09,2.75,4.35,2.45,6.44,5.2,5.56,3.72,2014
2014-05-14,1.54,11.78,93.77,100.34,11.63,17.24,16.28,16.28,22.8,11.17,17.58,5.14,3.05,0.71,0.44,5.85,3.49,3.96,2.51,2014
2014-05-15,1.41,12.92,84.73,100.11,11.57,20.4,17.91,17.91,26.25,14.68,20.65,4.92,3.8,4.86,2.56,9.78,6.36,7.4,4.51,2014
2014-05-16,18.26,12.37,91.18,99.68,6.37,18.53,17.23,17.23,21.53,15.16,18.7,7.58,5.68,3.77,2.25,11.36,7.93,8.04,5.2,2014
2014-05-17,11.49,7.1,85.17,99.88,6.13,11.93,8.77,8.77,13.57,7.45,11.23,1.47,2.74,5.84,3.1,7.31,5.83,6.46,4.54,2014
2014-05-18,0.01,5.26,69.35,100.62,11.5,10.85,4.55,4.56,15.5,4.0,9.92,3.62,2.37,3.41,2.93,7.02,5.3,5.68,3.73,2014
2014-05-19,0.08,5.77,66.75,100.51,14.75,12.41,5.74,5.75,18.44,3.7,11.86,3.65,1.31,3.2,2.0,6.85,3.32,4.78,2.8,2014
2014-05-20,0.42,6.59,64.48,100.3,15.35,14.62,7.76,7.77,21.17,5.82,14.41,4.65,1.6,1.76,1.39,6.41,2.98,3.94,2.37,2014
2014-05-21,0.34,7.87,72.75,99.92,12.66,15.69,10.35,10.35,21.15,8.48,15.22,4.25,1.08,2.78,2.15,7.03,3.23,4.29,2.67,2014
2014-05-22,6.63,9.14,90.12,99.6,8.72,14.58,12.5,12.5,18.11,9.39,14.14,2.74,1.78,3.51,2.01,6.26,3.79,4.59,3.04,2014
2014-05-23,3.06,8.65,90.0,99.89,5.7,13.9,11.77,11.77,16.44,10.74,13.37,1.89,1.83,4.0,2.15,5.89,3.97,4.83,3.21,2014
2014-05-24,1.15,8.23,79.38,100.24,10.67,14.81,11.02,11.02,19.24,8.57,14.59,4.67,2.71,1.03,0.66,5.69,3.37,2.77,1.76,2014
2014-05-25,3.18,9.56,81.08,100.03,13.39,16.83,13.15,13.15,22.45,9.05,16.56,7.46,4.72,1.81,1.36,9.27,6.07,4.44,2.91,2014
2014-05-26,4.08,11.32,87.53,99.47,8.95,17.93,15.71,15.71,22.38,13.43,17.91,7.42,4.97,1.11,0.69,8.54,5.65,6.39,4.34,2014
2014-05-27,8.61,7.92,92.31,99.59,6.92,12.4,10.2,10.2,15.28,8.36,11.59,7.36,5.98,1.04,0.48,8.39,6.46,5.85,4.42,2014
2014-05-28,0.89,6.82,79.14,100.42,6.65,11.67,8.29,8.29,15.67,9.02,11.79,6.35,5.01,1.48,1.01,7.82,6.02,5.45,3.99,2014
2014-05-29,0.02,7.02,67.91,100.64,11.21,14.51,8.68,8.69,19.7,8.49,14.62,3.71,1.68,0.68,0.62,4.4,2.3,2.2,1.46,2014
2014-05-30,1.37,8.01,77.23,100.4,10.22,14.97,10.69,10.69,19.29,9.07,14.64,4.82,1.95,2.72,2.2,7.54,4.15,5.2,3.14,2014
2014-05-31,0.03,7.43,75.49,101.04,10.65,14.41,9.63,9.63,18.51,7.85,13.93,4.21,3.05,2.21,1.33,6.42,4.38,4.32,2.94,2014
2014-06-01,0.0,8.93,75.24,100.87,13.07,16.84,12.3,12.3,22.4,9.33,16.8,4.93,2.75,1.3,0.85,6.23,3.6,3.83,2.44,2014
2014-06-02,3.1,12.23,84.39,100.04,14.48,19.79,16.85,16.85,25.87,11.39,19.82,2.71,2.36,2.96,1.75,5.67,4.11,4.85,2.96,2014
2014-06-03,20.14,15.08,90.79,99.39,7.7,21.91,20.3,20.3,26.32,18.62,21.9,2.99,2.85,4.42,2.29,7.41,5.14,5.73,3.5,2014
2014-06-04,1.54,9.61,79.94,99.23,7.84,17.33,13.17,13.17,20.64,12.8,16.73,5.04,4.38,3.26,1.75,8.29,6.14,6.17,4.26,2014
2014-06-05,1.83,8.61,85.1,99.23,5.09,14.81,11.6,11.6,16.57,11.48,14.06,4.01,1.65,0.77,0.7,4.77,2.35,2.45,1.55,2014
2014-06-06,1.0,9.38,79.62,99.57,11.58,17.04,12.87,12.87,21.64,10.06,16.47,3.3,1.67,3.48,2.39,6.78,4.06,5.06,3.14,2014
2014-06-07,0.02,9.97,70.84,99.89,13.0,19.43,13.89,13.89,25.24,12.24,19.35,3.28,1.44,3.09,1.85,6.37,3.29,4.37,2.81,2014
2014-06-08,0.03,11.11,76.25,99.77,13.75,20.09,15.46,15.46,26.14,12.39,19.87,4.1,1.41,2.64,1.67,6.73,3.08,4.36,2.48,2014
2014-06-09,0.57,9.83,69.82,100.01,9.06,19.62,13.65,13.65,24.35,15.29,19.37,3.1,1.92,4.36,2.58,7.46,4.51,5.62,3.47,2014
2014-06-10,1.63,9.15,70.54,100.28,9.18,18.39,12.64,12.64,23.07,13.89,18.11,3.74,2.78,3.27,1.93,7.02,4.72,4.91,3.36,2014
2014-06-11,4.36,9.42,83.15,100.46,9.62,16.31,13.08,13.08,20.63,11.01,15.99,3.71,2.37,3.36,2.31,7.07,4.69,5.41,3.57,2014
2014-06-12,20.66,10.6,94.71,99.92,5.81,16.09,14.76,14.76,18.72,12.92,15.71,1.37,1.47,5.81,3.88,7.18,5.35,6.6,4.6,2014
2014-06-13,29.3,11.49,95.04,99.42,3.66,17.0,16.03,16.03,18.76,15.1,16.84,3.26,3.16,4.55,2.44,7.81,5.6,6.13,4.11,2014
2014-06-14,8.39,9.82,83.29,99.63,8.51,16.96,13.63,13.63,20.66,12.15,16.49,6.8,5.4,0.67,0.28,7.47,5.68,5.83,4.03,2014
2014-06-15,0.64,7.75,67.37,100.47,12.32,16.38,10.18,10.19,21.94,9.62,16.26,3.21,1.65,2.63,1.64,5.84,3.29,3.86,2.5,2014
