date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m
2015-01-01,0.23,2.12,77.57,99.19,4.58,-2.64,-7.67,-7.59,-2.53,-7.11,-4.58,2.25,2.17,12.91,10.37,15.17,12.54,14.01,11.35
2015-01-02,0.41,2.13,72.21,100.3,3.12,-2.27,-7.47,-7.36,-1.96,-5.08,-3.43,11.64,9.1,0.91,0.79,12.55,9.89,8.0,6.23
2015-01-03,6.73,3.03,88.12,100.13,6.86,-1.04,-3.44,-3.4,1.54,-5.32,-1.41,8.84,7.46,1.54,1.3,10.37,8.76,7.63,5.99
2015-01-04,13.43,3.94,92.87,98.48,7.86,0.94,-0.01,0.0,3.14,-4.72,1.26,13.61,11.71,2.31,1.41,15.92,13.12,8.83,6.54
2015-01-05,2.98,1.39,75.53,100.45,6.69,-6.15,-12.41,-12.23,-5.73,-12.43,-9.58,6.92,6.01,9.08,7.1,16.0,13.11,12.64,10.37
2015-01-06,0.37,1.45,79.3,99.99,3.39,-6.41,-11.97,-11.84,-8.43,-11.81,-9.72,7.83,6.44,5.59,4.43,13.42,10.87,8.9,7.22
2015-01-07,0.41,1.12,83.85,100.1,7.02,-9.02,-15.0,-14.81,-8.9,-15.92,-13.54,5.85,5.53,7.81,5.85,13.66,11.38,11.83,9.8
2015-01-08,0.67,1.37,80.83,99.97,4.3,-7.34,-12.61,-12.48,-8.45,-12.74,-10.69,5.17,4.76,10.03,7.85,15.19,12.61,13.81,11.4
2015-01-09,1.11,1.57,77.39,99.18,5.42,-5.85,-11.08,-10.95,-6.27,-11.69,-8.43,2.56,2.3,12.41,9.95,14.97,12.25,13.66,11.14
2015-01-10,0.27,1.28,79.63,100.62,4.26,-8.01,-13.3,-13.14,-9.29,-13.55,-11.26,3.2,3.18,10.7,8.19,13.9,11.37,12.81,10.39
2015-01-11,0.19,2.03,78.18,100.72,8.75,-4.34,-8.21,-8.12,-1.58,-10.34,-5.04,2.6,3.11,7.59,5.07,10.19,8.18,8.78,6.32
2015-01-12,1.6,2.34,86.5,100.63,12.44,-3.67,-6.73,-6.66,-1.78,-14.22,-4.54,5.48,4.69,5.63,4.11,11.1,8.8,8.36,6.38
2015-01-13,0.7,0.97,84.21,101.92,7.18,-12.72,-16.66,-16.4,-11.88,-19.07,-15.22,7.01,5.13,2.56,2.29,9.57,7.42,5.1,4.07
2015-01-14,0.02,1.41,78.04,100.67,7.75,-9.42,-12.21,-12.09,-5.63,-13.38,-9.74,3.59,2.33,2.78,2.17,6.38,4.5,4.12,3.17
2015-01-15,0.45,1.92,86.16,99.58,8.43,-5.54,-9.06,-9.0,-3.47,-11.89,-7.23,7.77,6.47,5.35,4.18,13.12,10.65,9.41,7.64
2015-01-16,0.4,1.65,81.43,99.77,10.83,-6.65,-11.09,-10.94,-2.68,-13.51,-8.42,9.54,7.5,3.12,2.61,12.66,10.11,9.36,7.55
2015-01-17,0.29,2.11,89.58,99.75,15.79,-6.17,-8.98,-8.86,1.81,-13.98,-6.46,11.96,8.57,1.25,1.07,13.22,9.65,8.23,6.29
2015-01-18,2.53,3.94,90.42,98.56,4.24,0.84,0.23,0.24,3.17,-1.07,1.65,8.3,6.91,6.85,4.24,15.14,11.15,9.91,7.08
2015-01-19,0.49,2.06,78.64,99.3,7.81,-3.93,-8.14,-8.05,-1.62,-9.43,-5.11,5.19,4.3,5.95,4.5,11.14,8.8,8.88,7.04
2015-01-20,0.05,1.37,75.22,99.73,4.51,-7.88,-12.66,-12.49,-7.07,-11.58,-9.78,2.83,2.01,2.81,2.31,5.64,4.32,4.15,3.35
2015-01-21,0.29,1.63,75.77,100.03,6.85,-7.3,-11.0,-10.83,-4.03,-10.88,-7.64,3.62,3.02,2.55,2.03,6.17,5.05,4.55,3.62
2015-01-22,0.67,1.82,77.03,100.58,7.97,-5.32,-9.39,-9.28,-2.11,-10.08,-6.29,4.14,2.5,3.31,2.83,7.46,5.34,4.92,3.71
2015-01-23,1.42,2.46,86.5,99.91,5.57,-3.28,-5.77,-5.75,-0.4,-5.97,-3.94,4.31,4.75,8.06,5.73,12.37,10.48,10.26,7.81
2015-01-24,1.23,2.92,92.0,98.16,6.91,-2.22,-3.99,-3.98,0.09,-6.82,-2.76,4.11,3.37,6.26,4.66,10.37,8.03,7.77,5.91
2015-01-25,0.12,1.4,75.93,99.29,9.15,-7.1,-12.69,-12.47,-3.25,-12.4,-9.69,8.31,6.65,3.08,2.77,11.39,9.42,7.13,5.72
2015-01-26,0.76,1.47,80.82,99.63,4.29,-7.35,-12.25,-12.08,-7.66,-11.95,-9.79,2.21,2.78,7.54,5.7,9.75,8.48,9.22,7.58
2015-01-27,0.68,1.34,74.39,99.87,5.79,-7.43,-13.04,-12.81,-6.83,-12.62,-9.9,3.1,2.75,5.41,4.23,8.5,6.98,6.93,5.55
2015-01-28,0.06,1.24,68.51,100.47,9.61,-8.96,-13.78,-13.52,-4.66,-14.27,-9.79,5.65,3.82,2.03,1.9,7.68,5.72,5.0,3.87
2015-01-29,2.63,2.67,84.75,99.29,7.65,-2.54,-5.09,-5.04,0.04,-7.61,-2.68,3.63,3.52,6.23,4.3,9.86,7.81,8.13,6.07
2015-01-30,0.99,1.51,85.43,100.18,13.55,-7.69,-12.07,-11.94,-2.35,-15.89,-10.11,6.32,6.01,7.44,5.6,13.75,11.61,11.23,9.16
2015-01-31,0.12,1.6,87.85,100.4,11.51,-8.56,-11.41,-11.33,-4.67,-16.18,-9.68,6.5,4.31,2.79,2.19,9.29,6.5,6.09,4.6
2015-02-01,1.8,1.57,84.74,100.1,7.81,-6.91,-11.51,-11.35,-4.78,-12.59,-9.52,7.77,6.48,6.28,5.72,14.05,12.2,8.97,7.59
2015-02-02,5.05,1.1,86.29,99.18,6.37,-11.01,-15.31,-15.18,-10.81,-17.18,-14.23,7.99,7.77,6.75,5.01,14.74,12.78,11.22,9.33
2015-02-03,0.38,1.55,87.86,100.0,11.05,-8.52,-11.57,-11.52,-6.07,-17.13,-10.13,4.81,4.75,6.38,4.77,11.2,9.52,9.43,7.36
2015-02-04,2.3,2.49,89.3,99.51,6.59,-3.79,-5.78,-5.75,-0.98,-7.57,-4.28,2.56,2.59,7.18,4.86,9.75,7.45,8.06,6.1
2015-02-05,2.91,1.14,77.72,100.4,6.45,-10.82,-14.59,-14.39,-8.62,-15.07,-12.4,5.27,4.21,5.23,3.56,10.5,7.77,8.44,6.31
2015-02-06,2.45,1.84,85.69,99.8,8.55,-6.36,-9.41,-9.35,-4.11,-12.66,-7.66,5.51,5.17,8.11,5.64,13.62,10.8,10.71,8.39
2015-02-07,3.85,2.35,89.31,99.55,5.32,-4.1,-6.53,-6.5,-2.46,-7.78,-5.07,8.29,7.29,1.16,1.01,9.44,8.3,4.8,3.91
2015-02-08,1.82,1.62,93.26,99.27,3.4,-7.63,-11.12,-11.07,-8.24,-11.64,-10.43,1.31,1.06,9.24,8.17,10.54,9.23,9.93,8.66
2015-02-09,3.17,1.47,89.01,99.95,4.01,-8.17,-12.01,-11.94,-8.75,-12.75,-11.02,6.3,5.56,4.26,3.13,10.56,8.7,6.86,5.59
2015-02-10,1.0,1.51,84.27,100.4,7.39,-9.06,-11.66,-11.58,-6.03,-13.42,-9.9,3.33,2.28,2.89,2.15,6.22,4.43,4.38,3.42
2015-02-11,0.7,2.22,88.34,99.5,6.81,-4.97,-7.24,-7.2,-2.85,-9.66,-5.65,2.97,1.82,5.45,4.51,8.42,6.33,7.23,5.3
2015-02-12,1.52,1.32,87.57,99.56,12.53,-10.76,-13.57,-13.44,-5.34,-17.88,-12.16,3.46,4.59,8.76,5.67,12.22,10.25,10.67,8.45
2015-02-13,1.38,0.92,88.92,100.16,12.38,-14.6,-17.19,-17.16,-10.47,-22.85,-16.69,5.98,4.37,4.21,3.54,10.18,7.91,7.32,5.42
2015-02-14,1.37,1.49,84.86,98.57,9.16,-9.23,-12.11,-12.0,-7.04,-16.2,-10.42,7.62,6.68,7.09,5.76,14.71,12.44,10.83,8.78
2015-02-15,0.28,0.63,88.23,100.56,6.86,-17.83,-20.85,-20.84,-17.2,-24.06,-21.05,5.69,6.86,9.59,6.18,15.28,13.04,11.82,9.64
2015-02-16,0.11,0.64,84.15,100.51,10.68,-19.14,-20.65,-20.63,-14.96,-25.64,-20.18,7.44,4.4,1.73,1.32,9.17,5.72,4.11,2.97
2015-02-17,0.14,1.08,77.25,99.31,6.94,-12.53,-15.33,-15.1,-9.95,-16.89,-13.09,6.54,4.87,1.38,1.08,7.92,5.96,4.55,3.4
2015-02-18,0.55,1.44,80.91,98.83,4.02,-9.16,-12.12,-12.02,-8.18,-12.2,-10.2,7.25,5.44,2.8,2.29,10.05,7.73,5.25,3.95
2015-02-19,0.56,0.79,82.36,99.68,7.39,-15.39,-18.44,-18.29,-12.94,-20.33,-17.64,2.35,3.2,9.96,7.36,12.31,10.55,10.94,8.77
